TIME,POINT1,POINT2,POINT3
26.060000,643.061034,643.061034,643.061034
26.080000,642.852246,642.852246,642.852246
26.100000,642.643769,642.643769,642.643769
26.120000,642.435605,642.435605,642.435605
26.140000,642.227755,642.227755,642.227755
26.160000,642.020219,642.020219,642.020219
26.180000,641.813000,641.813000,641.813000
26.200000,641.606097,641.606097,641.606097
26.220000,641.399511,641.399511,641.399511
26.240000,641.193245,641.193245,641.193245
26.260000,640.987298,640.987298,640.987298
26.280000,640.781671,640.781671,640.781671
26.300000,640.576366,640.576366,640.576366
26.320000,640.371383,640.371383,640.371383
26.340000,640.166722,640.166722,640.166722
26.360000,639.962385,639.962385,639.962385
26.380000,639.758372,639.758372,639.758372
26.400000,639.554684,639.554684,639.554684
26.420000,639.351322,639.351322,639.351322
26.440000,639.148286,639.148286,639.148286
26.460000,638.945576,638.945576,638.945576
26.480000,638.743194,638.743194,638.743194
26.500000,638.541139,638.541139,638.541139
26.520000,638.339412,638.339412,638.339412
26.540000,638.138015,638.138015,638.138015
26.560000,637.936946,637.936946,637.936946
26.580000,637.736207,637.736207,637.736207
26.600000,637.535797,637.535797,637.535797
26.620000,637.335718,637.335718,637.335718
26.640000,637.135970,637.135970,637.135970
26.660000,636.936553,636.936553,636.936553
26.680000,636.737466,636.737466,636.737466
26.700000,636.538712,636.538712,636.538712
26.720000,636.340289,636.340289,636.340289
26.740000,636.142197,636.142197,636.142197
26.760000,635.944439,635.944439,635.944439
26.780000,635.747012,635.747012,635.747012
26.800000,635.549918,635.549918,635.549918
26.820000,635.353157,635.353157,635.353157
26.840000,635.156728,635.156728,635.156728
26.860000,634.960632,634.960632,634.960632
26.880000,634.764870,634.764870,634.764870
26.900000,634.569440,634.569440,634.569440
26.920000,634.374343,634.374343,634.374343
26.940000,634.179580,634.179580,634.179580
26.960000,633.985150,633.985150,633.985150
26.980000,633.791052,633.791052,633.791052
27.000000,633.597288,633.597288,633.597288
27.020000,633.403857,633.403857,633.403857
27.040000,633.210759,633.210759,633.210759
