TIME,POINT1,POINT2,POINT3
9.520000,476.909620,476.701408,0.050000
9.540000,477.136097,476.927692,0.050000
9.560000,477.362317,477.153720,0.050000
9.580000,477.588280,477.379491,0.050000
9.600000,477.813983,477.605003,0.050000
9.620000,478.039426,477.830255,0.050000
9.640000,478.264608,478.055245,0.050000
9.660000,478.489527,478.279972,0.050000
9.680000,478.714183,478.504436,0.050000
9.700000,478.938573,478.728634,0.050000
9.720000,479.162696,478.952566,0.050000
9.740000,479.386552,479.176231,0.050000
9.760000,479.610140,479.399627,0.050000
9.780000,479.833457,479.622754,0.050000
9.800000,480.056504,479.845609,0.050000
9.820000,480.279278,480.068192,0.050000
9.840000,480.501779,480.290502,0.050000
9.860000,480.724006,480.512538,0.050000
9.880000,480.945958,480.734299,0.050000
9.900000,481.167633,480.955783,0.050000
9.920000,481.389030,481.176990,0.050000
9.940000,481.610149,481.397918,0.050000
9.960000,481.830988,481.618566,0.050000
9.980000,482.051547,481.838935,0.050000
10.000000,482.271824,482.059021,0.050000
10.020000,482.491818,482.278825,0.050000
10.040000,482.711529,482.498346,0.050000
10.060000,482.930956,482.717582,0.050000
10.080000,483.150096,482.936532,0.050000
10.100000,483.368951,483.155197,0.050000
10.120000,483.587518,483.373574,0.050000
10.140000,483.805797,483.591663,0.050000
10.160000,484.023787,483.809463,0.050000
10.180000,484.241486,484.026973,0.050000
10.200000,484.458895,484.244192,0.050000
10.220000,484.676012,484.461120,0.050000
10.240000,484.892837,484.677755,0.050000
10.260000,485.109368,484.894097,0.050000
10.280000,485.325605,485.110145,0.050000
10.300000,485.541547,485.325897,0.050000
10.320000,485.757194,485.541355,0.050000
10.340000,485.972543,485.756515,0.050000
10.360000,486.187596,485.971379,0.050000
10.380000,486.402350,486.185945,0.050000
10.400000,486.616806,486.400212,0.050000
10.420000,486.830962,486.614179,0.050000
10.440000,487.044818,486.827846,0.050000
10.460000,487.258373,487.041213,0.050000
10.480000,487.471626,487.254278,0.050000
10.500000,487.684577,487.467041,0.050000
10.520000,487.897225,487.679501,0.050000
10.540000,488.109570,487.891658,0.050000
10.560000,488.321610,488.103510,0.050000
10.580000,488.533346,488.315058,0.050000
10.600000,488.744776,488.526301,0.050000
10.620000,488.955900,488.737237,0.050000
10.640000,489.166717,488.947867,0.050000
10.660000,489.377227,489.158190,0.050000
10.680000,489.587429,489.368205,0.050000
10.700000,489.797323,489.577911,0.050000
10.720000,490.006907,489.787309,0.050000
10.740000,490.216183,489.996398,0.050000
10.760000,490.425148,490.205176,0.050000
10.780000,490.633803,490.413645,0.050000
10.800000,490.842146,490.621802,0.050000
10.820000,491.050179,490.829648,0.050000
10.840000,491.257899,491.037182,0.050000
10.860000,491.465306,491.244403,0.050000
10.880000,491.672401,491.451312,0.050000
10.900000,491.879182,491.657907,0.050000
10.920000,492.085649,491.864189,0.050000
10.940000,492.291802,492.070156,0.050000
10.960000,492.497640,492.275808,0.050000
10.980000,492.703162,492.481146,0.050000
11.000000,492.908369,492.686168,0.050000
11.020000,493.113261,492.890874,0.050000
11.040000,493.317835,493.095264,0.050000
11.060000,493.522093,493.299337,0.050000
11.080000,493.726033,493.503092,0.050000
11.100000,493.929656,493.706531,0.050000
11.120000,494.132961,493.909651,0.050000
11.140000,494.335948,494.112454,0.050000
11.160000,494.538615,494.314938,0.050000
11.180000,494.740964,494.517103,0.050000
11.200000,494.942994,494.718949,0.050000
11.220000,495.144704,494.920475,0.050000
11.240000,495.346094,495.121681,0.050000
11.260000,495.547163,495.322568,0.050000
11.280000,495.747912,495.523133,0.050000
11.300000,495.948341,495.723379,0.050000
11.320000,496.148448,495.923303,0.050000
11.340000,496.348233,496.122906,0.050000
11.360000,496.547697,496.322187,0.050000
11.380000,496.746839,496.521147,0.050000
11.400000,496.945659,496.719784,0.050000
11.420000,497.144156,496.918099,0.050000
11.440000,497.342331,497.116092,0.050000
11.460000,497.540183,497.313762,0.050000
11.480000,497.737712,497.511109,0.050000
11.500000,497.934917,497.708133,0.050000
11.520000,498.131799,497.904834,0.050000
11.540000,498.328358,498.101211,0.050000
11.560000,498.524592,498.297264,0.050000
11.580000,498.720502,498.492994,0.050000
11.600000,498.916088,498.688399,0.050000
11.620000,499.111350,498.883480,0.050000
11.640000,499.306287,499.078237,0.050000
11.660000,499.500900,499.272669,0.050000
11.680000,499.695187,499.466776,0.050000
11.700000,499.889150,499.660559,0.050000
11.720000,500.082787,499.854017,0.050000
11.740000,500.276099,500.047149,0.050000
11.760000,500.469086,500.239957,0.050000
11.780000,500.661748,500.432439,0.050000
11.800000,500.854083,500.624595,0.050000
11.820000,501.046093,500.816426,0.050000
11.840000,501.237778,501.007932,0.050000
11.860000,501.429136,501.199112,0.050000
11.880000,501.620169,501.389966,0.050000
11.900000,501.810875,501.580494,0.050000
11.920000,502.001255,501.770696,0.050000
11.940000,502.191310,501.960572,0.050000
11.960000,502.381038,502.150122,0.050000
11.980000,502.570439,502.339346,0.050000
12.000000,502.759515,502.528244,0.050000
12.020000,502.948264,502.716816,0.050000
12.040000,503.136686,502.905061,0.050000
12.060000,503.324783,503.092981,0.050000
